DEPARTAMENTO,HORA,MODALIDAD,FALLECIDOS,HERIDOS
LIMA,10:30,DESPISTE,0,1
LIMA,19:40,CHOQUE,0,0
ANCASH,19:15,DESPISTE,1,3
APURIMAC,10:45,DESPISTE,0,0
SAN MARTIN,16:30,DESPISTE,0,1
SAN MARTIN,06:50,DESPISTE,0,1
AREQUIPA,18:10,DESPISTE,0,0
PUNO,14:25,CHOQUE,0,1
AREQUIPA,07:00,DESPISTE,0,2
AREQUIPA,17:11,DESPISTE,0,1
LORETO,05:00,ATROPELLO,1,1
LIMA,07:00,CHOQUE,0,2
JUNIN,16:00,DESPISTE,0,2
LIMA,04:30,DESPISTE,0,0
JUNIN,04:00,DESPISTE,0,0
JUNIN,04:00,DESPISTE,0,0
UCAYALI,06:50,DESPISTE,0,0
LIMA,06:05,CHOQUE,0,2
LIMA,07:10,CHOQUE,0,1
HUANUCO,21:30,ESPECIAL,0,1
LIMA,07:35,CHOQUE,0,6
LIMA,06:00,DESPISTE,0,0
JUNIN,01:20,DESPISTE,0,1
JUNIN,16:30,DESPISTE,0,0
HUANCAVELICA,13:25,DESPISTE,0,2
ICA,18:50,CHOQUE,0,4
SAN MARTIN,23:45,CHOQUE,1,1
MADRE DE DIOS,06:40,ATROPELLO,1,0
AREQUIPA,06:45,DESPISTE,0,0
AREQUIPA,16:00,CHOQUE,0,3
CUSCO,19:30,CHOQUE,0,1
PUNO,11:30,CHOQUE,1,7
LORETO,17:40,CHOQUE,0,2
AREQUIPA,00:10,VOLCADURA,0,0
CUSCO,18:00,DESPISTE,0,0
UCAYALI,19:00,DESPISTE,1,1
LIMA,22:00,CHOQUE,0,0
CUSCO,09:30,DESPISTE,0,4
LIMA,19:00,CHOQUE,0,0
JUNIN,19:50,CHOQUE,0,0
ICA,16:30,CHOQUE,0,1
PIURA,14:30,CHOQUE,0,2
SAN MARTIN,21:40,CHOQUE,0,2
TACNA,19:00,DESPISTE,0,0
PUNO,17:00,CHOQUE,0,1
LIMA,05:40,CHOQUE,1,2
PUNO,15:30,DESPISTE,1,2
CUSCO,11:17,CHOQUE,0,0
PIURA,10:20,DESPISTE,0,2
PUNO,06:45,DESPISTE,0,2
ICA,21:30,CHOQUE,0,0
ICA,17:27,CHOQUE,0,0
MADRE DE DIOS,22:00,CHOQUE,0,13
AYACUCHO,14:30,CHOQUE,1,12
AREQUIPA,04:20,CHOQUE,0,0
LAMBAYEQUE,22:50,CHOQUE,0,0
MOQUEGUA,10:45,DESPISTE,0,3
PUNO,15:45,DESPISTE,0,0
PUNO,14:55,DESPISTE,0,11
LIMA,07:24,CHOQUE,0,0
CAJAMARCA,23:40,DESPISTE,0,3
LIMA,22:00,CHOQUE,0,2
JUNIN,09:30,CHOQUE,0,1
LIMA,06:30,DESPISTE,0,0
LIMA,06:48,CHOQUE,0,2
AYACUCHO,18:45,CHOQUE,0,1
PUNO,08:24,DESPISTE,0,N.I.
PUNO,14:10,DESPISTE,0,N.I.
LIMA,02:10,DESPISTE,0,1
LIMA,17:10,CHOQUE,0,0
LIMA,20:15,ESPECIAL,0,0
ICA,20:45,CHOQUE,0,4
PUNO,11:30,DESPISTE,0,0
AMAZONAS,02:35,DESPISTE,0,1
AREQUIPA,23:40,CHOQUE,0,0
PIURA,12:05,ESPECIAL,0,0
JUNIN,05:30,DESPISTE,0,1
CUSCO,17:00,DESPISTE,0,3
TACNA,14:15,DESPISTE,0,3
CAJAMARCA,17:00,DESPISTE,0,1
JUNIN,19:13,ATROPELLO,1,2
LIMA,22:00,DESPISTE,0,0
MOQUEGUA,09:20,CHOQUE,0,1
AYACUCHO,18:20,CHOQUE,0,8
ICA,14:30,CHOQUE,1,6
ICA,04:20,DESPISTE,0,2
AREQUIPA,08:30,DESPISTE,0,1
CUSCO,13:00,CHOQUE,0,0
LA LIBERTAD,23:50,CHOQUE,0,6
LIMA,16:54,CHOQUE,0,1
JUNIN,12:40,DESPISTE,0,2
AREQUIPA,07:30,CHOQUE,2,2
LIMA,08:10,DESPISTE,0,1
LIMA,02:40,CHOQUE,0,3
LIMA,20:30,CHOQUE,0,12
LIMA,00:40,CHOQUE,0,1
CAJAMARCA,19:30,CHOQUE,0,4
JUNIN,16:45,CHOQUE,0,5
LIMA,15:30,CHOQUE,0,2
JUNIN,06:00,ATROPELLO,1,0
LIMA,11:30,DESPISTE,0,0
JUNIN,05:30,CHOQUE,0,4
MOQUEGUA,19:30,DESPISTE,0,0
HUANCAVELICA,05:00,DESPISTE,0,7
AMAZONAS,11:50,DESPISTE,0,0
ANCASH,18:38,CHOQUE,0,0
SAN MARTIN,14:15,DESPISTE,0,0
AREQUIPA,11:30,DESPISTE,0,1
AREQUIPA,14:10,DESPISTE,0,1
JUNIN,08:25,DESPISTE,0,0
PIURA,19:30,DESPISTE,0,2
LIMA,18:30,DESPISTE,0,1
LIMA,10:40,DESPISTE,1,20
LIMA,08:40,DESPISTE,1,0
CUSCO,22:15,DESPISTE,0,0
LIMA,07:55,CHOQUE,0,1
ICA,16:20,DESPISTE,0,0
AYACUCHO,05:30,CHOQUE,0,0
ANCASH,04:30,DESPISTE,0,0
HUANUCO,12:30,CHOQUE,0,1
LA LIBERTAD,07:30,CHOQUE,0,2
AREQUIPA,00:20,CHOQUE,0,7
PIURA,08:30,CHOQUE,0,1
HUANUCO,17:00,ATROPELLO,0,1
MOQUEGUA,07:40,CHOQUE,0,8
SAN MARTIN,18:15,CHOQUE,0,0
CUSCO,09:50,DESPISTE,0,0
LIMA,15:30,DESPISTE,0,2
LIMA,00:45,ESPECIAL,0,0
HUANCAVELICA,05:50,CHOQUE,0,0
ICA,06:30,ATROPELLO,1,0
PUNO,10:20,ATROPELLO,0,1
PUNO,11:20,DESPISTE,0,1
